Date,Open,High,Low,Close,Volume,Adj Close
1997-09-12,483.75,483.75,483.75,483.75,000,483.75
1997-09-11,489.44,489.44,489.44,489.44,000,489.44
1997-09-10,504.77,504.77,504.77,504.77,000,504.77
1997-09-09,505.84,505.84,505.84,505.84,000,505.84
1997-09-08,497.53,497.53,497.53,497.53,000,497.53
1997-09-05,488.46,488.46,488.46,488.46,000,488.46
1997-09-04,487.78,487.78,487.78,487.78,000,487.78
1997-09-03,501.79,501.79,501.79,501.79,000,501.79
1997-09-02,471.78,471.78,471.78,471.78,000,471.78
1997-09-01,453.22,453.22,453.22,453.22,000,453.22
1997-08-29,474.80,474.80,474.80,474.80,000,474.80
1997-08-28,495.73,495.73,495.73,495.73,000,495.73
1997-08-27,500.00,500.00,500.00,500.00,000,500.00
1997-08-26,516.23,516.23,516.23,516.23,000,516.23
1997-08-25,521.04,521.04,521.04,521.04,000,521.04
1997-08-22,525.25,525.25,525.25,525.25,000,525.25
1997-08-21,538.46,538.46,538.46,538.46,000,538.46
1997-08-20,527.72,527.72,527.72,527.72,000,527.72
1997-08-19,536.31,536.31,536.31,536.31,000,536.31
1997-08-18,544.69,544.69,544.69,544.69,000,544.69
1997-08-15,563.14,563.14,563.14,563.14,000,563.14
1997-08-14,555.23,555.23,555.23,555.23,000,555.23
1997-08-13,552.62,552.62,552.62,552.62,000,552.62
1997-08-12,557.99,557.99,557.99,557.99,000,557.99
1997-08-11,554.20,554.20,554.20,554.20,000,554.20
1997-08-08,569.23,569.23,569.23,569.23,000,569.23
1997-08-07,559.86,559.86,559.86,559.86,000,559.86
1997-08-06,533.86,533.86,533.86,533.86,000,533.86
1997-08-05,526.20,526.20,526.20,526.20,000,526.20
1997-08-04,518.31,518.31,518.31,518.31,000,518.31
1997-08-01,510.20,510.20,510.20,510.20,000,510.20
1997-07-31,506.45,506.45,506.45,506.45,000,506.45
1997-07-30,508.12,508.12,508.12,508.12,000,508.12
1997-07-29,517.54,517.54,517.54,517.54,000,517.54
1997-07-28,516.63,516.63,516.63,516.63,000,516.63
1997-07-25,509.47,509.47,509.47,509.47,000,509.47
1997-07-24,497.82,497.82,497.82,497.82,000,497.82
1997-07-23,492.60,492.60,492.60,492.60,000,492.60
1997-07-22,472.19,472.19,472.19,472.19,000,472.19
1997-07-21,468.66,468.66,468.66,468.66,000,468.66
1997-07-18,473.12,473.12,473.12,473.12,000,473.12
1997-07-17,462.37,462.37,462.37,462.37,000,462.37
1997-07-16,452.85,452.85,452.85,452.85,000,452.85
1997-07-15,469.70,469.70,469.70,469.70,000,469.70
1997-07-14,475.54,475.54,475.54,475.54,000,475.54
1997-07-11,493.34,493.34,493.34,493.34,000,493.34
1997-07-10,502.48,502.48,502.48,502.48,000,502.48
1997-07-09,503.97,503.97,503.97,503.97,000,503.97
1997-07-08,489.92,489.92,489.92,489.92,000,489.92
1997-07-07,504.55,504.55,504.55,504.55,000,504.55
1997-07-04,495.57,495.57,495.57,495.57,000,495.57
1997-07-03,481.13,481.13,481.13,481.13,000,481.13
1997-07-02,447.94,447.94,447.94,447.94,000,447.94
1997-07-01,423.87,423.87,423.87,423.87,000,423.87
1997-06-30,418.63,418.63,418.63,418.63,000,418.63
1997-06-27,421.46,421.46,421.46,421.46,000,421.46
1997-06-26,421.68,421.68,421.68,421.68,000,421.68
1997-06-25,433.12,433.12,433.12,433.12,000,433.12
1997-06-24,412.32,412.32,412.32,412.32,000,412.32
1997-06-23,400.59,400.59,400.59,400.59,000,400.59
1997-06-20,390.82,390.82,390.82,390.82,000,390.82
1997-06-19,388.99,388.99,388.99,388.99,000,388.99
1997-06-18,377.69,377.69,377.69,377.69,000,377.69
1997-06-17,369.17,369.17,369.17,369.17,000,369.17
1997-06-16,369.00,369.00,369.00,369.00,000,369.00
1997-06-13,364.78,364.78,364.78,364.78,000,364.78
1997-06-12,363.96,363.96,363.96,363.96,000,363.96
1997-06-11,363.96,363.96,363.96,363.96,000,363.96
1997-06-10,365.26,365.26,365.26,365.26,000,365.26
1997-06-09,365.64,365.64,365.64,365.64,000,365.64
1997-06-06,360.94,360.94,360.94,360.94,000,360.94
1997-06-05,360.54,360.54,360.54,360.54,000,360.54
1997-06-04,359.76,359.76,359.76,359.76,000,359.76
1997-06-03,355.35,355.35,355.35,355.35,000,355.35
1997-06-02,355.46,355.46,355.46,355.46,000,355.46
1997-05-30,355.64,355.64,355.64,355.64,000,355.64
1997-05-29,353.41,353.41,353.41,353.41,000,353.41
1997-05-28,351.40,351.40,351.40,351.40,000,351.40
1997-05-27,355.30,355.30,355.30,355.30,000,355.30
1997-05-26,356.52,356.52,356.52,356.52,000,356.52
1997-05-23,356.27,356.27,356.27,356.27,000,356.27
1997-05-22,359.04,359.04,359.04,359.04,000,359.04
1997-05-21,365.96,365.96,365.96,365.96,000,365.96
1997-05-20,359.37,359.37,359.37,359.37,000,359.37
1997-05-19,366.22,366.22,366.22,366.22,000,366.22
1997-05-16,362.52,362.52,362.52,362.52,000,362.52
1997-05-15,357.00,357.00,357.00,357.00,000,357.00
1997-05-14,349.75,349.75,349.75,349.75,000,349.75
1997-05-13,353.99,353.99,353.99,353.99,000,353.99
1997-05-12,360.72,360.72,360.72,360.72,000,360.72
1997-05-09,337.53,337.53,337.53,337.53,000,337.53
1997-05-08,337.53,337.53,337.53,337.53,000,337.53
1997-05-07,338.70,338.70,338.70,338.70,000,338.70
1997-05-06,339.04,339.04,339.04,339.04,000,339.04
1997-05-05,334.59,334.59,334.59,334.59,000,334.59
1997-05-02,321.19,321.19,321.19,321.19,000,321.19
1997-05-01,321.19,321.19,321.19,321.19,000,321.19
1997-04-30,321.19,321.19,321.19,321.19,000,321.19
1997-04-29,305.53,305.53,305.53,305.53,000,305.53
1997-04-28,301.53,301.53,301.53,301.53,000,301.53
1997-04-25,297.60,297.60,297.60,297.60,000,297.60
1997-04-24,290.66,290.66,290.66,290.66,000,290.66
1997-04-23,290.22,290.22,290.22,290.22,000,290.22
1997-04-22,291.32,291.32,291.32,291.32,000,291.32
